序号,名称,统计编号
263,杭州煎饼网络技术有限公司,20173301000420 
264,杭州合创超声波科技有限公司,2015010683 
265,杭州每日科技有限公司,201002017 
266,杭州迪源电气科技有限公司,2013010626 
267,浙江电化教育发展公司,201201062 
268,浙江腾保网络科技有限公司,20173301000760 
269,杭州百洁电力科技有限公司,2015010648 
270,杭州攀峰环保科技有限公司,20153301000531 
271,杭州耀图科技有限公司,2014010455 
272,杭州依图医疗技术有限公司,20183301000935 
273,杭州鹏泰电力设计咨询有限公司,20153301000532 
274,杭州华朗实验设备有限公司,20153301000504 
275,杭州扬拓科技有限公司,2014010539 
276,杭州烙印信息技术有限公司,20173301001295 
277,浙江雄猫软件开发有限公司,20153301000485 
278,杭州瑞亮科技有限公司,2013010722 
279,杭州云造科技有限公司,2015010501 
280,杭州奔流科技有限公司,2015010421 
281,浙江沛宏网络科技有限公司,20173301001257 
282,杭州三云科技有限公司,20143301000423 
283,杭州虚之实科技有限公司,20163301001112 
284,杭州希玛诺光电技术有限公司,2015010557 
285,浙江胜握信息科技有限公司,2014010553 
286,杭州艾诺电子科技有限公司,20153301000611 
287,杭州一氪科技有限公司,20153301000484 
288,杭州优拓文化创意有限公司,20183301001768 
289,杭州泰捷科技有限公司,2014010434 
290,浙江碳谷上希材料科技有限公司,20153301000431 
291,杭州明瑞节能科技有限公司,20173301001523 
292,杭州佳谷数控技术有限公司,20133301000668 
293,杭州祺纳新材料科技有限公司,20153301000432 
294,杭州郎洲环保工程有限公司,2014010403 
295,杭州银河通信技术有限公司,2014010461 
296,杭州望天树网络科技有限公司,2013010762 
297,浙江开创环保科技有限公司,2013010828 
298,杭州迅捷生物技术有限公司,20153301000428 
299,杭州爱容视信息技术有限公司,2015010448 
300,杭州开锐电子电气有限公司,2013010686 
301,杭州尚能科技有限公司,20123301001052 
302,美通日用品（杭州）有限公司,200901034 
303,杭州佐格通信设备有限公司,2015010608 
304,杭州彩拓网络信息技术有限公司,200901035 
305,杭州风途科技有限公司,2015010673 
306,杭州天尊信息技术有限公司,20133301000755 
307,杭州中安环境检测有限公司,20173301001658 
308,杭州车乐通汇科技有限公司,20143301000499 
309,浙江聚趣网络科技有限公司,2015010481 
310,杭州速狗信息科技有限公司,20163301001763 
311,杭州玄能科技有限公司,2014010537 
312,杭州净洋环保科技有限公司,2013010678 
313,杭州浩道生物科技有限公司,2014010505 
314,杭州军动科技有限公司,20143301000513 
315,杭州康德软件开发有限公司,200901025 
316,杭州重构科技有限公司,20173301001289 
317,杭州圣代网络科技有限公司,2014010527 
318,杭州昱朗机械科技有限公司,2014010464 
319,杭州妥爱沐生物科技有限公司,20143301000443 
320,浙江创盈光电有限公司,20133301000820 
321,杭州和悦网络有限公司,201201030 
322,杭州小码教育科技有限公司,20173301000334 
323,杭州华政新能源科技有限公司,20173301000794 
324,杭州淡妆浓抹影视文化有限公司,2015010426 
325,浙江远图互联科技股份有限公司,20163301000358 
326,杭州河口水利科技有限公司,20173301000356 
327,杭州东达液压制造有限公司,2014010368 
328,杭州膳良生态农业技术有限公司,20153301000534 
329,杭州晏睿环境科技有限公司,20163301001201 
330,杭州喵隐科技有限公司,20163301000376 
331,杭州华新科技有限公司,20183301000547 
332,浙江富城科技发展有限公司,2014010484 
333,杭州九言科技有限公司,20133301000680 
334,杭州辉煌文化传播有限公司,200901043 
335,杭州泰富龙新型建筑材料有限公司,20103301002023 
336,杭州知略科技有限公司,20183301000318 
337,杭州东方盈动信息技术有限公司,200802041 
338,杭州番润自动化科技有限公司,2015010518 
339,杭州片刻网络科技有限公司,20163301001746 
340,杭州皇尚科技有限责任公司,2013010660 
341,浙江方大智控科技有限公司,2014010483 
342,杭州奥达化纤有限公司,20163301000355 
343,杭州维艾科技有限公司,200604098 
344,杭州图特信息科技有限公司,2014010531 
345,杭州鑫高科技有限公司,201201024 
346,杭州同万物联网科技有限公司,2014010441 
347,浙江久正工程检测有限公司,2015010561 
348,杭州之江创意园开发有限公司,20183301000970 
349,杭州牧歌实业有限公司,2015010691 
350,浙江游宇集智能科技有限公司,20173301001174 
351,杭州金式麦生物科技有限公司,2015010525 
352,杭州森香生态科技有限公司,20143301000424 
353,杭州茂秀科技有限公司,2014010409 
354,杭州落英网络科技有限公司,20163301001474 
355,杭州钛比科技有限公司,20143301000433 
356,杭州蓝融科技有限公司,2013010691 
357,杭州万乐极信息技术服务有限公司,20153301000487 
358,杭州普伦德科技有限公司,2015010656 
359,杭州一帆船舶设备技术有限公司,2013010789 
360,杭州随行网络信息服务有限公司,2014010431 
361,杭州诺津科技有限公司,20163301001724 
362,杭州汉克斯隔音技术工程有限公司,20173301000599 
363,杭州上兆科技有限公司,20143301000426 
364,杭州莱宸科技有限公司,2015010571 
365,杭州霍夫电力自动化设备有限公司,20153301000406 
366,杭州尚维科技有限公司,20123301001037 
367,杭州瑞江化工有限公司,2015010600 
368,杭州碳诺能源科技有限公司,2013010750 
369,杭州卓安自动化控制设备有限公司,2014010476 
370,杭州卷瓜网络有限公司,20143301000396 
371,杭州安邦农业生物科技有限公司,2015010669 
372,杭州万维镜像科技有限公司,20183301000069 
373,杭州建友工程咨询有限公司,20143301000387 
374,杭州易富科技有限公司,200604087 
375,杭州子曼科技有限公司,20143301000477 
376,杭州森奈科技有限公司,2013010730 
377,杭州朗道科技有限公司,2015010694 
378,杭州君道网络科技有限公司,2015010658 
379,杭州微链科技有限公司,2015010444 
380,杭州求本植物科技有限公司,20143301000421 
381,杭州匠物网络科技有限公司,20153301000498 
382,杭州光魔多媒体科技有限公司,2013010646 
383,杭州房途信息科技有限公司,2014010374 
384,浙江莎啦啦科技有限公司,20183301000155 
385,杭州微拍堂文化创意有限公司,20163301001398 
386,杭州晋鼎信环保科技有限公司,2015010404 
387,杭州新澳唯科技有限公司,2015010662 
388,杭州森香生态科技有限公司,20153301000533 
389,杭州东特电子商务有限公司,2013010631 
390,杭州顺治网络科技有限公司,201201034 
391,杭州帕萨旺物联网科技有限公司,2014010519 
392,杭州腾瑞电气有限公司,20143301000437 
393,浙江爵越文化创意有限公司,20173301001518 
394,杭州唐古信息科技有限公司,20173301000050 
395,杭州骏杨明科技有限公司,2015010549 
396,杭州市天鹏传媒有限公司,2015010615 
397,杭州慧翔电液技术开发有限公司,20083301002058 
398,杭州仲略电子科技有限公司,2014010473 
399,杭州碧海旅游规划设计有限公司,20153301000441 
400,杭州麦思网络科技有限公司,20153301000547 
401,浙江亿联健医疗器械有限公司,20163301001033 
402,杭州黑岩网络科技有限公司,20163301001802 
403,杭州翰翊科技有限公司,20163301000367 
404,杭州鑫球胶业有限公司,20173301000417 
405,杭州陆恒生物科技有限公司,20183301001378 
406,华夏视联控股有限公司,2015010624 
407,杭州绿聚科技有限公司,20163301001410 
408,浙江理想连线企业管理有限公司,2015010556 
409,杭州深粉象数字科技有限公司,2014010427 
410,杭州腾越生物科技有限公司,2013010753 
411,杭州利康科技有限公司,2015010568 
412,杭州拍淘科技有限公司,20153301000455 
413,杭州宝泉科技开发有限公司,2015010553 
414,杭州安琛博连科技有限公司,2015010438 
415,杭州素然文化创意有限公司,20183301001244 
416,杭州深粉象数字科技有限公司,2015010536 
417,杭州海莱电子科技有限公司,2014010380 
418,杭州辰戌科技有限公司,2015010684 
419,杭州捷成光电科技有限公司,201002015 
420,杭州领带蛙网络科技有限公司,20173301000793 
421,西亚特工业气体科技（杭州）有限公司,2015010587 
422,杭州之山科技有限公司,2013010807 
423,杭州墙蛙科技有限公司,20163301001096 
424,浙江名堂网络科技有限公司,20163301001465 
425,杭州宸岩电子有限公司,2015010551 
426,杭州好牙网络科技有限公司,20183301000049 
427,浙江天搜科技股份有限公司,201201073 
428,杭州乔路飞电子科技有限公司,2014010420 
429,杭州直通电子有限公司,20053301019015 
430,浙江天海管桩有限公司,2014010487 
431,浙江磬基信息技术有限公司,20133301000834 
432,雷科通技术(杭州)有限公司,2015010626 
433,杭州乾禾科技有限公司,2015010573 
434,浙江建科建筑节能科技有限公司,2015010644 
435,杭州淘博工业设计有限公司,2015010423 
436,杭州捷茂微电子有限公司,2013010671 
437,杭州银湖智能信息技术有限公司,2014010462 
438,杭州鸣创电子科技有限公司,20163301001723 
439,杭州合言信息科技有限公司,20173301000787 
440,杭州太始科技有限公司,2015010493 
441,杭州民安生物科技有限公司,20143301000411 
442,杭州联光电子有限公司,2015010666 
443,浙江世纪协和节能科技有限公司,20163301000352 
444,浙江至美环境科技有限公司,200901024 
445,杭州墩城寨科技有限公司,2015010647 
446,杭州单色科技有限公司,20153301000411 
447,杭州三超生物技术有限公司,201201031 
448,杭州因凡特科技有限公司,2015010540 
449,杭州诺顿装饰材料有限公司,2015010675 
450,杭州卡塔科技有限公司,2014010397 
451,杭州创源基业能源科技有限公司,2015010517 
452,杭州佰影数字科技有限公司,20163301001804 
453,杭州盐光科技有限公司,2014010538 
454,杭州盈天科学仪器有限公司,2015010639 
455,杭州中软医疗科技有限公司,20143301000472 
456,杭州魔厨科技有限公司,2015010594 
457,杭州雷力光电科技有限公司,20153301000653 
458,杭州高驰科技有限公司,2015010663 
459,杭州广翔计算机软件有限公司,200501016 
460,杭州圣基建筑特种工程有限公司,20173301001280 
461,杭州顺联科技有限公司,2013010741 
462,浙江航芯源集成电路科技有限公司,20163301000348 
463,杭州微松环境科技有限公司,2013010016 
464,杭州乐藏艺术品有限公司,20183301000024 
465,杭州贝普瑞科技开发有限公司,200604106 
466,杭州测易科技有限公司,2014010498 
467,杭州巨实科技有限公司,20173301001149 
468,杭州百倍云科技有限公司,20173301000571 
469,杭州嗨音网络科技有限公司,2015010477 
470,杭州点阵环境艺术设计有限公司,2014010367 
471,杭州飞越文化传播有限公司,20153301000449 
472,杭州云片网络科技有限公司,20153301000475 
473,杭州纯英节能科技有限公司,2015010640 
474,杭州途淘科技有限公司,20183301000011 
475,杭州浙卓科技有限公司,2015010457 
476,浙江瑞诺泰富科技有限公司,2013010836 
477,杭州明特软件有限公司,2013010704 
478,杭州华途软件有限公司,20133301000951 
479,浙江龙酉源新能源科技有限公司,20173301001168 
480,杭州太仁堂生物科技股份有限公司,20163301001601 
481,杭州普朗克光电科技有限公司,2015010654 
482,杭州携伴网络科技有限公司,20173301001152 
483,杭州鑫顺荣科技有限公司,2015010674 
484,杭州杭空压缩机有限公司,2015010604 
485,杭州零国科技有限公司,2015010655 
486,杭州光场裸眼三维成像技术有限公司,20163301001088 
487,杭州捷岛科学仪器有限公司,2014010509 
488,杭州鑫柏森科技有限公司,20143301000452 
489,杭州青恩科技有限公司,20153301000696 
490,杭州卡塔科技有限公司,2013010685 
491,杭州哲博化工科技有限公司,2014010469 
492,杭州洱海科技有限公司,2013010635 
493,浙江深度能源技术有限公司,2015010591 
494,杭州千乐互动科技有限公司,20163301000380 
495,杭州瑞弗科技有限公司,20123301001044 
496,杭州赛凯生物技术有限公司,2014010525 
497,杭州中港建设工程有限公司,2013010810 
498,杭州火驰智能科技有限公司,2014010507 
499,杭州乐卡麦尔工业设计有限公司,20173301000064 
500,杭州金石互联网金融服务有限公司,20173301001406 
501,杭州莱凡网络科技有限公司,20163301000610 
502,天杭办公耗材（杭州）有限公司,200802114 
503,杭州聿度网络信息服务有限公司,2015010660 
504,杭州智配云信息技术有限公司,2015010486 
505,杭州厚通网络科技有限公司,20143301000383 
506,杭州集文数字科技有限公司,20143301000508 
507,杭州芬玩科技有限公司,2015010492 
508,杭州点度信息技术有限公司,20163301001081 
509,浙江卓安自动化控制设备有限公司,2013010842 
510,杭州北讯信息技术有限公司,20173301001432 
511,杭州蓝昌科技有限公司,20143301000401 
512,浙江悦居智能科技有限公司,20143301000555 
513,杭州欧弟科技有限公司,20173301001164 
514,杭州湘亭科技有限公司,2015010564 
515,杭州仁人环保科技有限公司,20163301000636 
516,杭州铿锵科技有限公司,2014010398 
517,杭州迈的智能科技有限公司,20153301000569 
518,浙江绩丰物联科技股份有限公司,2015010609 
519,杭州轻松办软件有限公司,20173301001277 
520,杭州长桥科技有限公司,2013010356 
521,杭州日耀科技有限公司,2014010422 
522,杭州钛比科技有限公司,2015010537 
523,杭州蔓藤网络科技有限公司,2014010518 
524,杭州蟠龙企业策划有限公司,2014010416 
525,杭州淘维科技有限公司,20153301000550 
526,杭州女娲网络科技有限公司,20173301000530 
527,杭州乐创海洋科技有限公司,2014010405 
528,杭州逸曜信息技术有限公司,2014010460 
529,杭州雷赛微科技有限公司,20153301000439 
530,杭州冠腾网络技术有限公司,20153301000593 
531,杭州好客信息科技有限公司,2014010504 
532,浙江方泰电器有限公司,201001021 
533,浙江威廉姆节能科技有限公司,20153301000543 
534,杭州蕴菌科技有限公司,2014010467 
535,杭州唯她科技有限公司,20163301001429 
536,杭州汇茂科技有限公司,20133301000663 
537,杭州高容科技有限公司,2015010519 
538,杭州同为科技有限公司,200604099 
539,杭州莱科智能科技有限公司,2015010680 
540,杭州易审软件技术有限公司,201201070 
541,浙江齐顺信息技术有限公司,20153301000623 
542,杭州宏创电子商务有限公司,201002020 
543,杭州融汇科技有限公司,200501013 
544,杭州淡伊科技有限公司,20153301000414 
545,杭州律动文化传媒有限公司,20163301001151 
546,杭州图特生物科技有限公司,2014010442 
547,杭州车厘子智能科技有限公司,2013010622 
548,杭州微聊网络科技有限公司,20153301000464 
549,杭州搜影科技有限公司,20153301000468 
550,杭州天科教仪设备有限公司,200901039 
551,杭州迪源电气科技有限公司,20143301000366 
552,杭州清镜文化创意有限公司,20183301000915 
553,杭州千言网络科技有限公司,20153301000494 
554,杭州金马离合器有限公司,20173301000410 
555,杭州勤诚科技有限公司,20153301000670 
556,浙江笃学教育科技有限公司,20183301000994 
557,杭州煜川热能科技有限公司,2014010543 
558,杭州通配信息技术有限公司,2015010570 
559,杭州炬星环保科技有限公司,201201038 
560,杭州湾云计算技术有限公司,2014010445 
561,浙江恒亚环境工程有限公司,2015010599 
562,浙江华人传媒集团有限公司,200901041 
563,杭州问源节能环保技术有限公司,20153301000558 
564,杭州蓝轩环保科技有限公司,2014010516 
565,浙江南方装饰工程有限公司,20163301001473 
566,杭州顺网信息技术有限公司,200701001 
567,杭州艾朴软件有限公司,20143301000491 
568,浙江印加光电科技有限公司,20133301000600 
569,杭州紫光楼宇机电工程有限公司,2015010596 
570,杭州长荣通讯技术有限公司,201201043 
571,杭州齐游信息科技有限公司,2013010715 
572,杭州快充信息技术有限公司,2015010463 
573,杭州东部网络科技有限公司,201201036 
574,杭州泽邦科技有限公司,20173301000436 
575,杭州富纳新材料科技有限公司,20153301000433 
576,尼尔森网联媒介数据服务有限公司,2014010478 
577,杭州跬灵科技有限公司,20143301000400 
578,杭州威仕达智能科技有限公司,2013010765 
579,杭州宏音网络科技有限公司,20163301001741 
580,杭州辉煌时代动画制作有限公司,2013010661 
581,杭州顺应科技有限公司,20173301000578 
582,杭州九聚科技有限公司,2013010679 
583,杭州蓝谷科技有限公司,2015010646 
584,杭州海世嘉生物科技有限公司,20163301000335 
585,杭州吉黄网络科技有限公司,20173301000500 
586,杭州一苇杭科技有限公司,20153301000539 
587,杭州友谦网络科技有限公司,2015010452 
588,杭州中仑科技有限公司,201201071 
589,杭州天鸣生物科技有限公司,20153301000695 
590,杭州腾展科技股份有限公司,20163301001172 
591,杭州传艺家具有限公司,20163301000344 
592,浙江昊玥电子科技有限公司,20173301000575 
593,杭州钛狮信息科技有限公司,20163301001101 
594,杭州小野网络科技有限公司,2015010456 
595,杭州朗洲环保工程有限公司,2014010404 
596,杭州华亭科技有限公司,20103301002007 
597,杭州百信机械制造有限公司,201201066 
598,杭州永济水利科技有限公司,20163301001569 
